Peptide,R1C1P1,R1C1P2,R1C2P3,R1C3P5,R2C2P3,R2C2P4,R2C3P6,R3C1P1,R3C1P2,R3C2P3,R4C1P1,R4C1P2,R3C3P5,R3C2P4,R2C1P2,R1C2P4,R3C3P6,R2C1P1,R2C3P5,Total
LIPS_944_956,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3
NEK2_172_184,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,3
NEK3_158_170,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,3
NFKB1_330_342,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3
PTK6_436_448,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3
YAP1_121_133,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3
RADI_559_569,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,3
K6PL_766_778,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,2
RBL2_655_667,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,2
TAU_524_536,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2
KPCB_626_639,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1
PP2AB_297_309,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1
TY3H_65_77,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1
