Peptide,run1_CTL_869,run1_SCZ_737,run1_CTL_346,run1_SCZ_929,run1_CTL_676,run1_SCZ_802,run1_CTL_524,run1_SCZ_931,run1_CTL_46,run1_SCZ_94,run1_CTL_859,run2_CTL_874,run2_SCZ_225,run2_CTL_846,run2_SCZ_291,run2_CTL_836,run2_SCZ_732,run2_CTL_195,run2_SCZ_565,run2_CTL_901,run2_SCZ_69,run2_CTL_554,run2_SCZ_547,run3_CTL_111,run3_SCZ_930,run3_CTL_116,run3_SCZ_22,run3_CTL_702,run3_SCZ_640,run3_CTL_167,run3_SCZ_331,run3_CTL_686,run3_SCZ_552,run3_CTL_223,run3_SCZ_339,run4_SCZ_446,run4_CTL_882,run4_SCZ_585,run4_CTL_834
RS6_228_240,19,20,36,41,14,23,34,109,25,43,39,10,11,21,21,16,14,23,12,10,15,12,9,11,14,13,12,13,7,10,13,13,17,12,11,9,9,7,5
ACM1_444_456,16,28,30,37,22,28,26,22,28,40,31,18,16,32,29,23,19,28,17,25,17,21,20,16,21,15,16,13,12,12,19,23,18,17,16,13,12,12,14
BAD_112_124,511,51,77,65,30,409,66,57,66,76,77,8,8,10,9,8,5,8,6,10,8,9,8,10,15,13,13,10,11,11,6,13,12,13,13,11,12,15,10
CENPA_1_14,106,72,178,143,89,127,185,112,136,172,196,32,34,65,72,44,40,63,35,45,55,45,49,29,39,36,34,30,33,29,41,42,43,35,35,21,27,25,18
FRAP_2443_2455,9,14,20,18,6,12,14,10,15,20,22,7,7,9,7,9,10,7,5,5,5,5,3,9,7,8,8,4,9,5,12,13,12,10,9,6,9,7,8
K6PL_766_778,8,10,12,9,7,8,8,12,6,10,12,5,4,9,6,4,4,5,6,6,5,5,3,5,3,5,5,4,4,4,6,5,4,3,4,4,4,5,5
LMNB1_16_28,2,5,3,5,1,0,1,4,3,6,3,3,3,3,2,4,5,1,2,3,4,2,3,3,3,4,2,4,3,3,5,3,3,2,3,0,4,2,5
NEK2_172_184,25,27,48,39,25,37,42,35,40,34,32,15,15,20,16,13,13,16,13,13,10,13,13,16,15,16,12,13,12,12,14,15,15,13,12,9,11,12,11
PPR1A_28_40,293,314,636,555,367,481,200,446,489,556,471,263,260,373,363,300,303,375,235,286,317,293,305,219,292,251,251,217,212,228,228,237,245,253,249,129,140,113,104
RBL2_959_971,4,2,3,2,4,2,1,1,0,4,1,4,3,4,3,1,4,1,4,3,1,1,2,5,3,3,2,2,1,0,3,2,2,4,2,1,3,3,3
ADRB2_338_350,20,18,40,45,16,28,52,49,32,32,41,10,8,19,13,14,13,20,10,14,15,9,8,9,15,15,14,11,12,13,15,11,20,14,13,8,10,8,8
KCC2G_278_289,212,171,228,208,173,236,304,243,213,263,301,7,8,11,12,8,8,8,7,8,8,10,6,13,19,16,16,16,15,11,12,14,12,13,15,7,11,10,12
RYR1_4317_4329,56,67,155,130,43,68,189,159,101,128,152,20,20,40,31,29,27,36,19,23,28,21,18,21,37,32,27,30,31,19,33,30,31,26,25,14,21,17,13
ACM4_456_468,28,29,52,51,30,15,55,42,56,46,41,30,25,56,67,39,34,55,25,44,46,38,37,19,30,29,27,21,24,25,29,32,38,29,27,21,23,18,17
BAD_69_81,8,14,21,19,12,9,13,13,18,16,16,10,11,14,15,13,10,16,11,12,9,11,9,13,20,14,16,9,12,8,18,22,24,21,25,14,18,12,12
COF1_17_29,3,8,5,4,1,0,2,2,4,2,0,0,3,4,2,3,3,1,2,2,3,3,2,4,4,2,1,1,1,3,2,1,4,0,1,2,3,3,4
FRAP_2475_2487,1,4,3,5,0,2,1,4,1,3,2,1,2,3,2,1,3,1,3,3,3,2,4,2,2,1,1,1,2,3,1,2,1,1,1,0,1,2,3
KAPCG_192_206,18,19,32,30,15,18,21,17,27,18,21,10,7,13,11,8,8,10,8,9,10,9,8,9,11,9,8,8,9,9,11,11,11,10,10,8,6,7,9
MARCS_152_164,29,35,44,43,49,47,46,22,41,54,53,15,15,23,21,15,17,21,13,17,17,16,15,17,19,20,17,17,19,17,22,24,23,23,19,14,17,14,16
NEK3_158_170,22,18,25,26,11,19,19,11,19,16,15,7,7,9,11,6,8,8,6,7,8,7,6,9,9,9,8,7,7,9,10,8,8,9,6,5,5,8,6
PRKDC_2618_2630,27,32,43,46,24,32,35,29,38,38,43,12,13,16,11,14,11,15,10,12,11,10,8,13,19,13,13,13,9,11,16,14,14,15,14,14,19,14,14
REL_260_272,8,5,10,8,4,5,8,12,8,8,11,4,3,3,3,3,6,4,5,5,2,4,3,2,4,4,5,3,4,4,5,0,4,4,2,3,5,4,4
ART_025_CXGLRRWSLGGLRRWSL,23,22,40,40,19,28,48,54,33,37,41,35,18,43,44,30,36,35,28,34,35,30,33,28,44,36,37,31,31,41,40,34,36,31,35,23,22,18,16
KCNA1_438_450,2,8,0,6,2,0,4,1,4,20,3,3,3,1,3,3,4,1,3,3,3,6,3,2,3,3,0,4,3,2,2,2,1,2,3,2,2,3,3
SCN7A_898_910,8,7,11,13,7,9,9,17,7,16,13,2,4,6,7,4,4,5,6,4,5,3,2,6,5,7,7,6,4,6,8,5,9,8,6,4,9,5,6
ACM5_494_506,146,157,278,293,162,89,349,244,284,250,257,146,95,257,312,184,164,250,118,194,266,177,200,87,153,128,129,113,108,126,143,121,181,124,134,76,94,71,54
BAD_93_105,134,165,248,234,182,62,310,236,260,233,234,338,287,444,498,367,376,466,290,355,401,328,358,246,388,321,325,278,282,308,320,350,335,315,314,176,196,162,120
CSF1R_701_713,14,17,29,23,18,16,27,38,23,20,27,15,17,26,22,16,17,23,14,16,14,16,15,15,21,24,18,17,16,20,24,22,24,22,21,13,17,15,12
GPR6_349_361,15,23,28,25,20,20,23,19,24,23,32,11,17,18,18,10,14,17,13,16,10,13,11,14,12,13,14,13,12,14,15,13,15,12,14,8,10,10,10
KCNA2_442_454,5,7,11,9,8,8,5,6,7,7,9,5,7,6,6,4,5,4,5,5,3,3,3,4,4,5,3,4,3,3,4,7,4,5,6,3,6,5,5
MARCS_160_172,22,30,43,38,33,40,46,19,32,38,40,33,28,56,50,35,36,58,25,39,44,37,35,22,34,37,26,26,29,37,34,35,38,35,36,22,29,23,20
NMDZ1_890_902,55,49,146,124,52,85,148,353,83,132,159,19,22,47,40,22,22,39,20,29,33,29,25,20,31,30,23,23,24,26,35,32,35,28,27,23,28,27,18
PTK6_436_448,9,10,15,11,8,10,12,27,10,9,13,6,5,6,7,3,6,6,6,5,4,6,5,5,7,9,6,5,5,6,8,4,7,6,3,2,6,2,7
SRC_413_425,0,0,0,0,1,0,0,0,0,0,0,3,3,3,2,3,1,2,4,1,2,4,1,2,1,1,3,2,0,0,2,4,0,1,2,1,0,1,4
CAC1C_1974_1986,25,26,39,41,32,39,57,81,42,41,51,18,13,23,25,17,19,23,13,19,19,14,14,18,24,24,24,22,23,19,28,20,31,23,25,11,12,7,9
KPB1_1011_1023,4,4,2,5,1,4,0,14,2,0,2,4,3,2,5,2,3,4,2,2,2,4,3,2,2,4,1,4,3,4,3,3,1,4,3,4,0,2,4
SRC8_CHICK_423_435,2,4,2,1,1,3,2,3,6,0,2,3,2,3,2,3,1,5,3,4,1,3,4,4,5,1,4,2,4,1,4,4,4,2,1,2,1,2,1
ACM5_498_510,92,101,161,152,98,34,187,145,164,160,156,48,48,104,121,66,54,103,45,73,99,68,68,36,64,51,58,40,45,48,59,61,78,56,59,35,45,37,28
BCKD_45_57,10,12,40,27,7,13,32,16,21,22,35,2,3,5,7,6,3,7,6,6,7,8,2,6,11,9,7,6,7,11,13,11,15,8,13,12,15,14,7
CSK21_355_367,1,1,0,0,1,0,0,0,0,0,1,2,2,1,4,2,3,1,1,2,0,1,1,4,2,3,0,2,2,0,2,1,0,1,2,1,0,3,2
GPSM2_394_406,5,8,6,4,6,3,7,10,5,6,4,4,2,7,5,3,4,3,6,3,3,1,5,1,5,4,5,4,3,6,4,6,5,2,4,4,3,4,3
KCNA3_461_473,5,5,6,13,3,6,3,4,8,4,3,3,4,3,5,2,4,3,2,3,2,6,5,4,2,4,1,2,2,4,3,5,2,4,2,1,4,4,3
MBP_222_234,37,43,66,59,47,62,60,45,57,54,49,94,86,149,121,103,112,157,90,116,81,104,76,87,107,82,59,78,82,92,92,102,69,74,76,41,52,37,39
NOS3_1171_1183,138,154,232,249,193,228,280,192,238,182,178,121,118,210,152,136,152,182,101,139,110,122,92,101,149,123,108,96,101,101,142,135,103,127,114,77,89,58,59
RAB1A_187_199,4,6,6,5,7,4,3,6,2,3,4,4,4,4,5,4,6,3,6,4,2,4,2,3,5,3,3,2,3,2,4,4,2,3,4,3,4,3,1
STK6_283_295,258,218,788,673,187,333,828,481,505,629,723,123,91,245,265,171,158,269,104,183,241,181,179,121,281,245,221,181,219,281,301,220,361,250,261,223,330,254,148
CFTR_730_742,5,4,1,0,1,2,1,14,2,5,0,6,4,4,1,2,2,3,2,1,1,2,4,4,4,2,3,3,2,3,2,1,3,8,0,3,0,0,4
MYPC3_268_280,14,14,24,20,10,15,22,75,21,13,18,11,9,10,11,9,11,18,12,10,8,9,4,10,10,14,8,10,8,8,11,9,11,9,6,4,5,5,5
VASP_271_283,85,54,445,372,8,80,399,172,190,381,444,14,10,60,62,33,21,65,13,43,56,47,37,9,46,36,28,22,27,53,36,37,70,44,33,90,145,131,53
ADDB_696_708,8,11,12,13,13,7,8,8,9,11,9,7,5,7,8,5,7,6,6,7,7,6,7,10,7,7,7,7,6,5,6,7,6,7,4,2,4,7,5
BRCA1_1451_1463,3,5,2,1,0,0,0,1,0,8,2,2,3,1,4,1,2,1,2,3,1,4,3,2,3,2,2,1,0,0,3,1,1,1,2,0,1,2,3
DCX_49_61,11,10,8,8,8,9,9,7,10,8,12,4,5,5,6,3,4,4,6,3,5,4,2,4,4,5,5,3,8,1,5,5,5,3,5,3,5,6,3
GSUB_61_73,15,14,15,18,10,11,11,9,13,13,16,10,12,15,14,12,11,16,10,10,12,12,7,10,10,11,11,11,10,11,11,13,12,8,12,6,9,10,8
KCNB1_489_501,5,4,7,16,7,4,5,5,2,7,8,6,6,6,6,5,5,4,5,4,6,6,4,5,5,4,6,3,3,7,5,7,5,3,6,3,6,6,5
MK10_214_226,4,6,8,5,4,2,4,4,4,4,5,6,5,6,5,3,5,5,4,5,2,3,5,7,2,4,2,4,8,5,7,4,8,3,4,4,6,5,6
NR4A1_344_356,45,60,94,91,69,78,83,46,67,92,88,27,26,45,46,29,25,47,27,34,35,35,29,22,32,27,22,22,26,23,28,29,30,26,23,15,18,17,12
RAF1_253_265,15,19,38,34,15,19,33,19,25,59,49,6,6,12,7,7,5,9,6,8,7,7,4,7,9,9,7,5,8,8,9,12,7,9,9,4,6,10,5
STMN2_90_102,8,7,7,2,5,10,0,5,7,5,3,3,3,4,3,2,2,2,4,3,2,1,3,5,0,5,3,1,2,4,3,3,2,1,1,0,4,3,3
CGHB_109_121,298,209,1550,1100,11,289,1577,609,761,1066,1500,52,25,175,194,113,76,206,41,143,222,138,126,54,242,177,121,116,158,250,201,144,297,143,158,217,351,264,108
NCF1_296_308,30,36,92,76,34,45,81,82,58,85,96,16,17,29,27,14,22,28,16,20,18,18,10,19,25,29,21,24,14,17,26,28,38,33,24,17,19,15,11
VTNC_390_402,15,18,44,36,12,17,35,118,26,40,44,8,6,11,10,7,9,11,7,12,4,8,7,7,11,19,10,10,6,14,12,9,19,13,9,8,10,9,7
ADDB_706_718,32,34,42,43,37,38,36,41,49,35,42,14,14,20,21,14,14,19,12,15,13,14,11,12,17,13,15,13,10,12,17,17,22,16,17,14,15,15,12
C1R_201_213,4,8,5,7,4,3,7,3,4,5,6,3,5,3,3,3,3,3,3,3,2,2,2,2,3,1,3,4,0,2,4,2,0,4,1,3,2,5,5
ELK1_356_368,2,8,5,7,1,1,2,2,5,3,4,4,4,2,4,1,4,2,2,1,0,5,4,3,3,4,3,2,4,5,5,3,2,2,1,2,3,4,2
GYS2_1_13,208,196,340,362,251,310,396,293,350,265,249,368,350,480,534,382,385,478,343,336,337,343,303,293,386,301,338,318,312,344,379,360,387,346,315,175,215,144,159
KIF11_919_931,3,2,3,1,3,0,2,0,2,0,5,3,4,2,4,3,1,3,4,2,0,1,2,2,3,4,1,3,2,2,1,2,5,4,3,1,3,2,2
MP2K1_281_293,3,4,2,4,3,0,0,0,3,1,1,2,3,4,2,3,1,1,3,3,2,3,2,2,3,3,3,2,2,3,2,3,3,2,1,1,1,2,2
NTRK3_824_836,8,8,6,7,3,5,6,5,5,8,4,5,4,4,5,5,6,4,4,5,4,5,7,3,5,3,3,3,4,6,5,5,6,5,4,3,4,4,4
RAP1B_172_184,38,41,57,56,45,45,50,45,63,64,60,12,12,17,20,13,12,18,11,14,17,17,12,14,17,16,16,15,17,18,21,20,19,20,19,11,11,12,9
TAU_524_536,11,13,20,16,14,13,15,7,14,16,13,5,4,8,5,5,6,7,5,2,5,5,4,7,5,6,6,4,6,5,7,7,8,6,5,1,4,5,5
CREB1_126_138,25,23,67,65,25,32,90,173,44,44,49,17,15,25,22,18,18,28,15,17,11,16,9,14,18,24,16,17,15,10,18,19,21,17,15,11,12,7,7
NCF1_321_333,13,16,23,17,15,14,19,40,17,20,18,11,8,18,13,11,12,19,10,10,10,10,7,10,11,16,9,12,11,10,15,12,14,11,9,7,8,5,5
CFTR_761_773,42,44,88,105,34,58,120,829,89,76,83,46,51,83,76,53,67,119,52,48,54,47,33,43,67,89,48,72,47,43,77,58,78,59,34,25,31,21,18
AKT1_301_313,10,6,8,6,5,5,2,3,5,4,2,5,4,7,6,3,3,4,3,6,3,5,5,4,2,3,4,3,3,4,3,4,5,6,6,3,4,4,4
CA2D1_494_506,40,43,69,58,49,59,73,65,68,45,46,93,73,114,126,95,95,121,77,84,86,81,91,66,87,80,80,69,78,82,74,89,99,82,69,34,38,23,26
ELK1_410_422,3,5,2,5,1,1,0,1,1,8,3,3,4,2,0,1,2,0,3,2,1,3,1,2,2,2,1,2,4,1,2,2,1,1,3,0,2,1,2
H2B1B_ 27_40,26,27,40,41,28,27,33,29,38,40,46,8,12,17,18,11,11,13,10,11,12,13,11,12,13,12,13,12,15,10,16,19,19,17,18,11,11,11,10
KIF2C_105_118_S106G,51,47,222,179,39,53,185,109,118,149,193,16,18,38,40,23,21,37,17,29,29,30,22,19,36,37,30,23,28,36,32,34,45,33,33,32,39,46,23
MP2K1_287_299,70,72,110,114,95,88,89,70,115,106,112,48,40,60,59,45,45,63,42,47,46,53,40,38,46,39,37,36,35,34,38,46,41,35,32,17,21,21,20
P53_12_24,30,25,40,60,19,27,37,26,34,37,35,7,7,7,6,6,6,5,5,6,7,5,7,6,9,8,10,8,6,7,8,7,8,7,8,8,7,9,8
RB_242_254,39,51,57,58,42,51,53,42,56,50,31,23,21,35,31,28,22,36,22,24,11,26,11,23,29,21,21,23,19,15,25,27,22,17,19,14,13,11,12
TLE2_246_258,4,1,3,1,3,0,1,1,1,1,0,5,4,4,4,3,2,5,3,2,3,2,3,2,2,2,2,4,3,2,3,4,2,0,2,2,1,3,3
DESP_2842_2854,8,10,8,13,10,9,10,10,12,17,24,4,5,5,4,4,5,5,3,4,4,5,3,6,7,8,7,6,7,5,10,8,10,7,11,5,4,3,5
NFKB1_330_342,10,9,24,20,6,13,22,37,14,19,22,4,5,5,6,3,6,4,6,4,4,3,4,5,4,6,5,4,2,4,5,5,6,3,3,3,4,4,4
F263_454_466,26,25,49,47,16,27,47,454,31,37,43,4,6,9,7,8,8,18,8,4,5,3,6,5,5,21,5,11,4,10,11,7,18,10,3,4,9,7,5
ANDR_785_797,73,72,132,121,72,103,135,120,121,109,95,53,44,83,83,56,56,86,51,62,51,49,48,52,66,65,66,55,56,56,67,76,80,60,52,25,33,23,21
CD27_212_224,40,46,74,69,47,76,79,70,75,83,83,23,26,49,50,28,28,46,25,35,45,36,33,22,32,32,32,26,28,23,36,41,41,34,31,15,22,19,14
ERBB2_679_691,96,123,220,199,147,159,230,187,170,122,192,91,108,197,227,137,117,218,90,141,208,138,134,62,119,97,91,83,104,71,103,121,142,107,89,75,82,62,42
H32_3_18,33,38,67,70,56,45,57,36,52,59,73,13,14,20,22,13,15,20,12,14,17,14,12,8,15,13,11,12,14,11,14,17,18,13,13,10,12,10,9
KPCB_19_31_A25S,81,93,168,159,112,123,163,121,168,175,181,44,42,96,94,57,54,98,39,63,83,56,40,34,55,51,42,43,49,35,45,64,68,48,47,34,38,27,25
MPH6_140_152,10,2,2,0,0,1,0,0,1,0,2,2,0,4,1,4,2,1,2,2,1,2,2,2,2,5,1,2,2,3,3,1,3,0,2,4,3,3,5
P53_308_323,9,7,8,8,6,6,4,4,10,6,9,5,7,8,5,6,4,7,8,5,5,6,5,4,6,6,6,6,7,7,6,5,6,6,3,6,6,6,3
RB_350_362,9,7,10,8,9,8,11,8,13,9,10,9,7,10,9,7,8,6,6,7,7,6,6,8,9,10,7,8,6,9,9,9,9,9,7,6,6,5,5
TOP2A_1463_1475,41,35,108,98,22,36,126,129,69,82,100,12,11,29,30,21,18,44,15,23,20,22,19,13,29,42,21,21,22,36,32,25,41,24,21,17,23,26,14
E1A_ADE05_212_224,437,253,1938,1467,21,390,1671,900,988,1117,1611,61,35,226,216,128,96,235,62,170,99,187,117,57,276,237,152,139,173,292,200,184,252,169,163,277,355,354,168
PLM_76_88,14,22,29,32,19,22,30,27,31,24,20,9,4,11,8,6,8,10,5,6,3,5,4,7,9,7,7,7,8,6,6,5,8,8,6,5,2,4,2
KAP3_107_119,74,75,122,150,66,113,191,226,135,133,120,61,56,100,99,84,93,123,61,76,82,62,59,58,98,105,95,93,80,66,115,90,115,91,85,41,56,33,33
ANXA1_209_221,10,6,25,17,1,13,13,8,7,13,12,0,0,4,6,4,2,0,3,4,1,0,5,1,0,4,1,10,0,5,4,12,10,2,2,4,3,3,4
CDC2_154_169,7,7,17,14,6,11,8,9,16,8,12,8,8,10,11,7,8,7,8,10,9,9,9,10,8,8,11,9,8,8,9,7,6,9,9,6,6,6,8
ERF_519_531,6,2,3,4,1,3,1,4,4,5,6,3,4,0,4,1,3,2,1,2,2,0,2,3,2,3,1,1,0,3,4,3,2,4,1,3,1,2,5
IF4E_203_215,20,18,20,25,16,20,20,18,28,25,22,12,13,18,18,13,12,19,13,17,18,15,12,12,12,12,12,11,13,11,12,16,16,14,12,9,11,10,7
KPCB_626_639,11,7,10,6,5,5,10,5,11,6,5,6,7,6,6,5,11,5,6,6,5,7,6,5,4,7,7,7,8,8,7,5,6,8,6,4,6,3,4
MPIP1_172_184,44,49,70,87,57,60,70,78,78,71,64,30,28,48,45,28,28,43,31,27,30,27,16,25,32,29,29,29,28,28,28,34,34,24,23,11,18,13,15
PDE5A_95_107,3,4,3,5,1,0,2,0,5,2,1,4,4,1,2,2,3,2,2,4,4,3,3,3,0,3,3,4,2,4,3,3,3,3,2,1,2,2,2
RB_774_786,3,5,7,13,0,3,5,3,2,6,4,3,3,4,6,4,3,5,5,3,3,3,2,4,5,5,5,3,4,5,3,5,5,3,2,4,5,2,0
VASP_150_162,3,4,6,7,0,2,3,11,3,5,6,4,2,5,3,3,4,3,1,3,4,3,3,1,3,6,1,2,4,7,5,2,5,3,3,2,1,2,1
EPB42_241_253,25,27,51,48,30,40,42,84,40,33,36,25,24,42,35,26,28,42,21,25,21,20,12,22,32,26,23,24,25,10,24,26,24,22,17,8,10,6,7
PTN12_32_44,40,34,96,94,36,47,110,168,68,83,85,23,23,58,63,36,36,79,21,36,51,36,27,20,34,39,22,27,27,26,33,31,41,31,23,24,29,17,13
KCNA6_504_516,26,26,97,73,8,27,82,280,54,85,109,5,7,17,15,16,11,38,9,14,9,13,14,8,21,43,13,23,13,36,28,18,39,23,17,24,34,34,16
CDK7_163_175,37,32,44,45,8,17,31,47,66,69,51,15,19,22,16,14,13,20,14,18,19,10,7,21,22,23,28,17,18,19,41,31,39,35,36,29,39,24,35
ESR1_160_172,39,32,121,86,17,45,151,77,82,107,132,32,19,76,88,55,40,92,40,72,94,84,81,29,85,84,59,53,79,98,72,75,105,73,64,51,67,75,32
IKBA_26_38,4,6,7,3,1,4,3,0,3,4,1,2,2,2,1,1,1,3,2,2,0,2,1,2,1,2,2,2,1,3,1,2,1,3,1,2,0,3,2
KS6A1_374_386,48,31,66,80,52,65,75,68,66,57,56,39,36,45,46,36,35,46,35,35,43,38,42,35,35,35,43,31,33,40,40,45,40,38,39,15,20,17,12
MPIP3_208_220,11,12,16,16,12,11,9,13,17,21,15,7,8,11,13,10,8,10,6,8,10,7,5,8,11,7,11,10,9,8,13,12,14,11,13,6,8,4,7
PDPK1_27_39,3,3,8,4,0,0,3,2,1,2,4,0,2,3,2,3,1,0,2,0,2,2,3,3,2,4,1,3,1,0,0,1,2,0,1,2,4,1,1
RB_803_815,65,57,109,114,79,96,125,87,106,84,88,40,36,78,76,51,55,88,41,53,61,49,43,27,49,41,36,35,39,33,43,40,49,37,36,26,32,20,18
VASP_232_244,4,3,8,6,3,5,3,5,7,3,5,3,3,4,3,6,5,4,3,4,5,3,4,5,5,3,3,2,4,7,5,3,3,3,1,3,3,5,4
GBRB2_427_439,41,36,85,90,33,52,107,327,66,82,98,27,30,75,62,45,41,64,28,42,48,44,36,20,52,54,31,36,34,25,47,40,60,38,32,21,29,20,16
PYGL_8_20,37,39,41,54,45,47,58,42,50,32,27,28,26,35,33,26,30,43,21,26,26,23,18,21,26,24,23,26,22,12,22,24,22,19,18,8,11,5,8
TY3H_65_77,12,11,17,17,7,11,16,85,14,15,13,4,5,5,4,7,4,8,3,4,3,6,4,4,4,11,3,5,3,9,10,7,12,8,6,5,6,5,5
