Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
DAPK1,P53355,CAMK,DAPK,NA,0.09745356082866347,0.09745356082866347,0.09799710864927055,-0.5867327351603099,-0.5867327351603099,0,NA,3
CDKL4,Q5MAI5,CMGC,CDKL,NA,0.09522258166044299,0.09585939458466558,0.10568393731556154,-0.5863247503850003,-0.5863247503850003,0,NA,3
RAF1,P04049,TKL,RAF,NA,0.09847695253698413,0.0947439512515487,0.114638779968488,-0.6727521174516632,-0.6675563625337219,0.015587264753823922,NA,6
PRKD1,Q15139,CAMK,PKD,NA,0.0956470280865464,0.09366495819490933,0.10679324694015198,-0.6491884339047262,-0.6491884339047262,0,NA,5
CDK3,Q00526,CMGC,CDK,NA,0.13059633416018485,0.09258863922541381,0.28232949699773785,-0.6750866232693674,-0.6927115873738251,0.07240940958733433,NA,8
MAPK12,P53778,CMGC,MAPK,NA,0.10605247875859762,0.0893755951107988,0.28903688100472424,-0.6676483810517176,-0.6754927750258978,0.07819727253058453,NA,8
RPS6KA2,Q15349,AGC-CAMK,RSK,NA,0.07795245691382408,0.07987667370927608,0.16115090926274472,-0.7027902383307248,-0.7060445193266126,0.042463964156841776,NA,15
TEX14,Q8IWB6,OTHER,NKF5,NA,0.07452340244417187,0.07572071393811836,0.0830199526796178,-0.5561771109115191,-0.5561771109115191,0,NA,3
CDKL5,O76039,CMGC,CDKL,NA,0.09590524369839407,0.07314359516766072,0.19246497193114673,-0.588859633153514,-0.6054926727236718,0.10088383818168938,NA,4
CDK15,Q96Q40,CMGC,CDK,NA,0.07061113134727531,0.07061113134727531,0.07572071393811836,-0.5473166189668427,-0.5473166189668427,0,NA,3
CDK11A,Q9UQ88,CMGC,NA,NA,0.062469141076662474,0.06449273417528721,0.07779372256098363,-0.5968177915177981,-0.5693148907928751,0.03677673238162575,NA,4
GSK3B,P49841,CMGC,GSK,NA,0.08065441971587868,0.06348625752110672,0.22475374025976358,-0.5679826958836984,-0.590633509381157,0.06795244049237568,NA,4
MAPK13,O15264,CMGC,MAPK,NA,0.11240112492100472,0.0614802748235081,0.2218487496163564,-0.6925012070781383,-0.7151761108694155,0.04188848422762206,NA,11
DYRK1A,Q13627,CMGC,DYRK,NA,0.05439932276755729,0.05650548409389743,0.060480747381381476,-0.5246587420489462,-0.5297566327484743,0.007897618312023113,NA,3
MAPK7,Q13164,CMGC,MAPK,NA,0.06660711259427854,0.05650548409389743,0.14146280243036088,-0.6755813741272111,-0.6459292238581751,0.07501358623391213,NA,10
ARAF,P10398,TKL,RAF,NA,0.05483167354457454,0.05354773498692691,0.0695604052332999,-0.5165664059236581,-0.5165664059236581,0,NA,3
BRAF,P15056,TKL,RAF,NA,0.05483167354457454,0.05354773498692691,0.0695604052332999,-0.5165664059236581,-0.5165664059236581,0,NA,3
CHEK1,O14757,CAMK,CAMKL,NA,0.05131834928477111,0.05354773498692691,0.06854212931099495,-0.6063955087682604,-0.5920303903975785,0.02850489807212212,NA,6
PIM3,Q86V86,CAMK,PIM,NA,0.05483167354457454,0.05354773498692691,0.0695604052332999,-0.5165664059236581,-0.5165664059236581,0,NA,3
CDK2,P24941,CMGC,CDK,NA,0.0505187703776791,0.05256627811294924,0.08512818245994963,-0.6757958009888212,-0.6520632747692279,0.07828642517257899,NA,12
DAPK3,O43293,CAMK,DAPK,NA,0.04191415147891488,0.04191415147891488,0.04191415147891488,-0.4862191783710282,-0.4862191783710282,NA,NA,3
MAPK1,P28482,CMGC,MAPK,NA,0.043693238379176956,0.040958607678906384,0.08407278830288423,-0.670841161210128,-0.6593617958597905,0.05259884821731347,NA,13
MAP3K14,Q99558,STE,STE-Unique,NA,0.03715731879875755,0.03715731879875755,0.03715731879875755,-0.4550638045142237,-0.4550638045142237,NA,NA,3
IKBKE,Q14164,OTHER,IKK,NA,0.05047330060804088,0.033389013318065645,0.11690664142431006,-0.5464358854243409,-0.5680893316730556,0.038017994425566234,NA,6
