HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
NEK6,0,0.7314285714285714,-1,0.10031347962382443,0.35732209190289527,44,0.27076413892586587
LATS2,0,0.8457142857142858,-1,0.7021943573667712,0.523669275669867,85,0.5097126517862974
PIM2,0.7948717948717948,0.4457142857142858,0.7863247863247863,0.5391849529780565,0.6020593672534363,94,0.6223156750699776
AKT3,0.5641025641025641,0.84,-1,0.30094043887147337,0.49756682637364996,81,0.4722179296028237
AAK1,-1,0.09428571428571428,-1,0.6018808777429467,0.30219830961987104,23,0.19158187986085784
ABL1,-1,0.9657142857142856,-1,-1,0.45611710207775086,76,0.41267769721238806
ABL2,-1,0.4714285714285714,-1,-1,0.33459502178892464,37,0.23811796192165804
ACVR1,-1,0.76,-1,0.915360501567398,0.556084327442877,88,0.5562750776720582
ACVR1B,-1,0.42857142857142855,-1,0.915360501567398,0.4612117586979073,78,0.4199958891730423
ACVR2B,-1,0.28285714285714286,-1,0.915360501567398,0.41950054312899826,67,0.3600800390570958
ALK,-1,0.9085714285714286,-1,-1,0.442068306668638,73,0.3924973809938066
AURKC,-1,0.3514285714285714,-1,0.664576802507837,0.38847093976664193,59,0.315507733051178
AXL,-1,0.3028571428571429,-1,-1,0.29315107533204177,21,0.17858602907684268
BLK,-1,0.15714285714285714,-1,-1,0.257326647038804,10,0.12712622271945984
BMP2K,-1,0.03428571428571429,-1,0.6018808777429467,0.2850231032091438,20,0.16691064746017398
BMPR1A,-1,0.5057142857142857,-1,0.915360501567398,0.48329416694027094,80,0.45171604511677876
BMPR1B,-1,0.6485714285714286,-1,0.915360501567398,0.5241875155372406,86,0.5104570746422167
BMPR2,-1,0.2857142857142857,-1,0.915360501567398,0.4203184101009377,68,0.36125485964760456
BMX,-1,0.64,-1,-1,0.3760389682458076,54,0.2976498947664736
BTK,-1,0.8171428571428572,-1,-1,0.41959023401405743,68,0.36020887504407617
BUB1,-1,0.3742857142857143,-1,-1,0.31071206959343284,26,0.20381142435006955
CAMK1,-1,0.6485714285714286,-1,0.2006269592476489,0.37981104507387037,56,0.30306827413455184
CAMK1D,-1,0.17714285714285713,-1,0.2006269592476489,0.2448629947038705,7,0.10922287670060696
CAMK2A,-1,0.88,-1,0.03761755485893417,0.4131303028531751,66,0.35092954184997804
CAMK2B,-1,0.6457142857142857,-1,0.03761755485893417,0.3460652111541448,40,0.25459425342825986
CAMK2D,-1,0.7485714285714286,-1,0.03761755485893417,0.37550842214396296,54,0.29688779468657517
CAMK4,-1,0.5,0.4700854700854701,0.2006269592476489,0.38612311124110926,58,0.312135207457879
CAMKK1,-1,0.68,0.4700854700854701,0.438871473354232,0.5023023699203419,82,0.4790202755304409
CAMKK2,-1,0.5342857142857143,-1,0.438871473354232,0.39522185635075135,62,0.32520505068342315
CDC42BPA,-1,0.11714285714285716,-1,0.8526645768025078,0.35939965608428803,45,0.27374844476305593
CDC7,-1,0.3914285714285714,-1,-1,0.31492670821616664,27,0.20986551921564392
CDK11A,-1,0.02,-1,0.5642633228840125,0.2733350067461115,15,0.15012134448091088
CDK12,-1,0.05142857142857143,-1,0.5642633228840125,0.2823315434374449,19,0.16304437097650729
CDK15,-1,0.13428571428571429,-1,0.5642633228840125,0.3060496856236873,24,0.19711416810126126
CDK16,-1,0.15142857142857144,-1,0.5642633228840125,0.3109568874553236,26,0.20416309164431376
CDK18,-1,0.14857142857142858,-1,0.5642633228840125,0.3101390204833842,26,0.20298827105380499
CDK19,-1,0.5514285714285714,-1,0.5642633228840125,0.42545826352683874,70,0.36863797431553985
CDK20,-1,0.3342857142857143,-1,0.5642633228840125,0.3633003736594448,47,0.2793516094368742
CDK8,-1,0.32857142857142857,-1,0.5642633228840125,0.361664639715566,46,0.2770019682558567
CDKL3,-1,0.08285714285714285,-1,-1,0.23906321300695726,6,0.10089181163530389
CDKL5,-1,0.82,0.10256410256410256,-1,0.408981071468772,66,0.3449694008583167
CHUK,-1,0.8257142857142857,-1,0.01253918495297805,0.3925249893174364,61,0.3213311506124988
CLK1,-1,0.56,-1,0.45141065830721006,0.4051155796326511,64,0.33941683600690853
CLK2,-1,0.6742857142857143,-1,0.45141065830721006,0.4378302585102268,72,0.38640965962725876
CLK3,-1,0.3142857142857143,-1,0.45141065830721006,0.33477902004586324,38,0.23838226522315534
CLK4,-1,0.04,-1,0.45141065830721006,0.2562637907396815,10,0.12559948853431466
CSF1R,-1,0.01428571428571428,-1,-1,0.2222046585160218,2,0.07667543217300606
CSK,-1,0.52,-1,-1,0.3465364978866707,40,0.2552712307074525
CSNK1A1L,-1,0.00285714285714285,-1,0.8275862068965517,0.32161913613782206,30,0.21947882112489275
CSNK1E,-1,0.6542857142857142,-1,0.8275862068965517,0.5080928057400037,83,0.48733791576088925
CSNK1G1,-1,0.2742857142857143,-1,0.8275862068965517,0.39931649847206446,63,0.3310867772232247
CSNK1G2,-1,0.24571428571428572,-1,0.8275862068965517,0.39113782875267045,60,0.31933857131813703
CSNK1G3,-1,0.14,-1,0.8275862068965517,0.36087675079091297,45,0.2758702094693131
CSNK2A2,-1,0.5714285714285714,-1,0.26332288401253917,0.3703932395037322,50,0.2895401182353474
DAPK3,-1,0.4,0.29914529914529914,0.27586206896551724,0.32989390569052524,35,0.23136506911602817
DCLK1,-1,0.44857142857142857,-1,-1,0.3289755036252795,35,0.23004583543422544
DDR1,-1,0.8228571428571428,-1,-1,0.42099511355496877,68,0.3622269066659343
DDR2,-1,0.3657142857142857,-1,-1,0.3086047502820659,25,0.20078437691728235
DMPK,-1,0.8714285714285714,-1,0.8526645768025078,0.5753165366762878,90,0.5839010806573677
DYRK1B,-1,0.6828571428571428,-1,0.9655172413793104,0.5441336013382938,87,0.5391085217639474
DYRK3,-1,0.2885714285714286,-1,0.9655172413793104,0.4312679592106575,71,0.376983280273739
DYRK4,-1,0.8428571428571429,-1,0.9655172413793104,0.5899341517668998,93,0.6048984748324377
EEF2K,-1,0.7371428571428571,-1,-1,0.3999219204412995,63,0.3319564323380621
EGFR,-1,0.9,-1,-1,0.4399609873572711,73,0.38947033356101946
EIF2AK1,-1,0.05428571428571428,-1,0.21316614420062696,0.21222763544492165,2,0.06234399131763677
EIF2AK2,-1,0.86,-1,0.21316614420062696,0.4428661215318305,73,0.39364339784110625
EIF2AK3,-1,0.00857142857142857,-1,0.21316614420062696,0.1991417638938914,1,0.043546861869496724
EPHA2,-1,0.04285714285714286,-1,-1,0.22922905622057826,4,0.08676559028229684
EPHA3,-1,0.4057142857142857,-1,-1,0.31843890706844485,28,0.2149105982702893
EPHA4,-1,0.03142857142857143,-1,-1,0.2264192971387557,3,0.08272952703858054
EPHA8,-1,0.01142857142857142,-1,-1,0.2215022187455662,2,0.07566641636207701
EPHB1,-1,0.03714285714285714,-1,-1,0.22782417667966698,4,0.08474755866043869
EPHB2,-1,0.19714285714285715,-1,-1,0.267160803825183,13,0.1412524440724669
