Kinase,Z,method,AvgZ
MELK,1.46,710230322>0.4,1.1875
TAO,1.38,710230322>0.4,1.155
BUD32,1.38,710230322>0.4,1.125
PASK,1.38,710230322>0.4,1.1199999999999999
WNK,1.33,710230322>0.4,1.12
PKCH,1.31,710230322>0.4,1.2375
CAMK1,-1.16,710230322>0.4,-0.79
RAF,-1.11,710230322>0.4,-0.6625000000000001
PLK,-1.08,710230322>0.4,-2.08
PAKB,-1.05,710230322>0.4,-0.2125
PKN,-1.02,710230322>0.4,-0.58
NAK,-1.02,710230322>0.4,-1.2825
RAD53,-1.01,710230322>0.4,-0.11499999999999999
STE7,-1.01,710230322>0.4,-1.8675
TLK,-1.01,710230322>0.4,-1.295
PKCD,0.92,710230322>0.4,1.3075
AKT,0.82,710230322>0.4,1.345
GRK,-0.77,710230322>0.4,-0.845
PKD,0.76,710230322>0.4,0.2825
SLK,-0.74,710230322>0.4,0.09750000000000003
CLK,-0.74,710230322>0.4,-0.9225
KHS,-0.74,710230322>0.4,-0.9125
CAMKK,-0.73,710230322>0.4,-0.8975
NIK,-0.73,710230322>0.4,-0.9125
MOS,-0.72,710230322>0.4,-0.9
NDR,-0.72,710230322>0.4,-0.0025000000000000022
ULK,-0.71,710230322>0.4,-0.8875
BRSK,-0.71,710230322>0.4,-0.9
COT,-0.69,710230322>0.4,0.6799999999999999
MSN,0.66,710230322>0.4,1.4925
DAPK,-0.65,710230322>0.4,-0.10249999999999998
GSK,-0.64,710230322>0.4,-0.19
CAMK2,0.61,710230322>0.4,0.215
MTOR,0.57,710230322>0.4,0.815
DMPK,0.5,710230322>0.4,0.775
SGK,-0.49,710230322>0.4,0.255
PIM,0.49,710230322>0.4,0.6675
PDHK,0.49,710230322>0.4,0.35250000000000004
HAL,0.49,710230322>0.4,0.5175
NUAK,0.48,710230322>0.4,0.185
TTK,0.47,710230322>0.4,0.16499999999999998
RSK,0.44,710230322>0.4,0.8275
ATM,-0.41,710230322>0.4,-0.0325
CHK1,-0.33,710230322>0.4,-1.045
ATR,-0.33,710230322>0.4,-0.4725
IKK,0.31,710230322>0.4,-0.7525
STE11,-0.3,710230322>0.4,-0.7975
VRK1,0.24,710230322>0.4,0.9349999999999999
MLCK,0.23,710230322>0.4,0.695
AMPK,-0.16,710230322>0.4,-0.09249999999999999
CK2,0.16,710230322>0.4,-0.4175
MST,0.15,710230322>0.4,-0.07500000000000001
PEK,0.13,710230322>0.4,-0.2925
PHK,0.13,710230322>0.4,0.5225
LKB,0.11,710230322>0.4,0.04000000000000001
QIK,0.1,710230322>0.4,0.515
RIPK,-0.08,710230322>0.4,-0.07749999999999999
PRKDC,-0.07,710230322>0.4,-0.21000000000000002
MAPKAPK,-0.05,710230322>0.4,0.13749999999999998
PKCA,0.03,710230322>0.4,-0.1375
