Kinase,HGNC,Perc,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
CDK2,CDK2,0.3548387096774194,0.3548387096774194,-1,-1,-1,0.2834960808558596,28,0.2635858776702586
MAPK3,MAPK3,0.532258064516129,0.532258064516129,-1,-1,-1,0.2971204172233297,34,0.31900226633854095
MAPK1,MAPK1,0.532258064516129,0.532258064516129,-1,-1,-1,0.2971204172233297,34,0.31900226633854095
AKT1,AKT1,0.20967741935483872,0.20967741935483872,-1,-1,-1,0.27234889655520217,23,0.2182451960325729
AKT2,AKT2,0.7096774193548387,0.7096774193548387,-1,-1,-1,0.3107447535907999,41,0.3744186550068235
MAP3K8,MAP3K8,0.43548387096774194,0.43548387096774194,-1,-1,-1,0.2896889610228915,30,0.2887751452467507
PRKCI,PRKCI,0.7258064516129032,0.7258064516129032,-1,-1,-1,0.3119833296242063,41,0.3794565085221219
MTOR,MTOR,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
MAPK8,MAPK8,0.7903225806451613,0.7903225806451613,-1,-1,-1,0.3169376337578318,44,0.39960792258331557
MAPK9,MAPK9,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
CSNK1A1,CSNK1A1,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
CSNK1D,CSNK1D,0,0,-1,-1,-1,0.2562474081209193,12,0.15275310033369374
MAPKAPK2,MAPKAPK2,0.4032258064516129,0.4032258064516129,-1,-1,-1,0.28721180895607873,29,0.27869943821615384
GSK3B,GSK3B,0.5,0.5,-1,-1,-1,0.29464326515651695,33,0.3089265593079441
RPS6KA3,RPS6KA3,0.6612903225806451,0.6612903225806451,-1,-1,-1,0.30702902549058075,39,0.35930509446092823
DAPK1,DAPK1,0.8709677419354839,0.8709677419354839,-1,-1,-1,0.32313051392486364,48,0.4247971901598074
PRKAA2,PRKAA2,0.3064516129032258,0.3064516129032258,-1,-1,-1,0.27978035275564045,26,0.24847231712436338
CSNK2A1,CSNK2A1,0.9193548387096774,0.9193548387096774,-1,-1,-1,0.3268462420250828,50,0.4399107507057026
PRKDC,PRKDC,0.967741935483871,0.967741935483871,-1,-1,-1,0.330561970125302,52,0.4550243112515981
ATM,ATM,0.4838709677419355,0.4838709677419355,-1,-1,-1,0.2934046891231106,32,0.3038887057926457
