Dataset,HGNC,CombinedScore
C3N_C3NPC_STK_creedencombined.csv,EPHB1,0.1115031239774391
C3N_C3NPC_STK_creedencombined.csv,EPHB2,0.1400296287785504
C3N_C3NPC_STK_creedencombined.csv,EPHB3,0.20553493609962079
C3N_C3NPC_STK_creedencombined.csv,ERBB2,0.3323194018823379
C3N_C3NPC_STK_creedencombined.csv,ERBB4,0.11467273562200701
C3N_C3NPC_STK_creedencombined.csv,FASTK,0.17383881965394163
C3N_C3NPC_STK_creedencombined.csv,FER,0.44642542108678307
C3N_C3NPC_STK_creedencombined.csv,FES,0.15587768700139004
C3N_C3NPC_STK_creedencombined.csv,FGFR1,0.2615314084869875
C3N_C3NPC_STK_creedencombined.csv,FGFR2,0.2932275249326669
C3N_C3NPC_STK_creedencombined.csv,FGFR3,0.23194836647102024
C3N_C3NPC_STK_creedencombined.csv,FGFR4,0.370354741617153
C3N_C3NPC_STK_creedencombined.csv,FGR,0.4390296605827913
C3N_C3NPC_STK_creedencombined.csv,FLT1,0.1262946449854227
C3N_C3NPC_STK_creedencombined.csv,FLT3,0.21926991989274855
C3N_C3NPC_STK_creedencombined.csv,FLT4,0.15693422421624603
C3N_C3NPC_STK_creedencombined.csv,FRK,0.25413564798299565
C3N_C3NPC_STK_creedencombined.csv,FYN,0.42212506514509573
C3N_C3NPC_STK_creedencombined.csv,GRK1,0.16456463487022627
C3N_C3NPC_STK_creedencombined.csv,GRK2,0.44008619779764724
C3N_C3NPC_STK_creedencombined.csv,GRK3,0.37649506297585394
C3N_C3NPC_STK_creedencombined.csv,GRK5,0.5422209510454528
C3N_C3NPC_STK_creedencombined.csv,GRK6,0.4032139030721609
C3N_C3NPC_STK_creedencombined.csv,GSK3A,0.5043089923526555
C3N_C3NPC_STK_creedencombined.csv,HASPIN,0.18863034066192527
C3N_C3NPC_STK_creedencombined.csv,HCK,0.31224519480007434
C3N_C3NPC_STK_creedencombined.csv,HIPK1,0.5520465554302773
C3N_C3NPC_STK_creedencombined.csv,HIPK2,0.5126817276856284
C3N_C3NPC_STK_creedencombined.csv,HIPK3,0.3293892484996063
C3N_C3NPC_STK_creedencombined.csv,HIPK4,0.612323947914271
C3N_C3NPC_STK_creedencombined.csv,CILK1,0.14742538928254226
C3N_C3NPC_STK_creedencombined.csv,IGF1R,0.3312628646674819
C3N_C3NPC_STK_creedencombined.csv,IKBKB,0.5582077114662704
C3N_C3NPC_STK_creedencombined.csv,IKBKE,0.5692790692694528
C3N_C3NPC_STK_creedencombined.csv,ILK,0.4613650710993617
C3N_C3NPC_STK_creedencombined.csv,INSR,0.35661975782402533
C3N_C3NPC_STK_creedencombined.csv,IRAK1,0.27170432024385244
C3N_C3NPC_STK_creedencombined.csv,IRAK3,0.19912541908965578
C3N_C3NPC_STK_creedencombined.csv,IRAK4,0.1683716474141488
C3N_C3NPC_STK_creedencombined.csv,ITK,0.2636444829166995
C3N_C3NPC_STK_creedencombined.csv,JAK1,0.2044783988847649
C3N_C3NPC_STK_creedencombined.csv,JAK2,0.40627700692225616
C3N_C3NPC_STK_creedencombined.csv,JAK3,0.2657575573464114
C3N_C3NPC_STK_creedencombined.csv,KDR,0.13157733105970262
C3N_C3NPC_STK_creedencombined.csv,KIT,0.17066920800937369
C3N_C3NPC_STK_creedencombined.csv,KSR1,0.3642841099962835
C3N_C3NPC_STK_creedencombined.csv,KSR2,0.5512670417833662
C3N_C3NPC_STK_creedencombined.csv,LATS1,0.17453280345014185
C3N_C3NPC_STK_creedencombined.csv,LATS2,0.2667941184766629
C3N_C3NPC_STK_creedencombined.csv,LCK,0.41789891628567183
C3N_C3NPC_STK_creedencombined.csv,LIMK1,0.14636885206768627
C3N_C3NPC_STK_creedencombined.csv,LIMK2,0.19285648952134918
C3N_C3NPC_STK_creedencombined.csv,LRRK2,0.24673988747900383
C3N_C3NPC_STK_creedencombined.csv,LYN,0.369298204402297
C3N_C3NPC_STK_creedencombined.csv,MAK,0.16010383586081395
C3N_C3NPC_STK_creedencombined.csv,MAP2K1,0.6203782085213339
C3N_C3NPC_STK_creedencombined.csv,MAP2K2,0.40387165592576446
C3N_C3NPC_STK_creedencombined.csv,MAP2K3,0.46660935014379873
C3N_C3NPC_STK_creedencombined.csv,MAP2K4,0.5182756865586506
C3N_C3NPC_STK_creedencombined.csv,MAP2K6,0.4616887466757174
C3N_C3NPC_STK_creedencombined.csv,MAP2K7,0.5059741778884478
C3N_C3NPC_STK_creedencombined.csv,MAP3K1,0.2760577265489626
C3N_C3NPC_STK_creedencombined.csv,MAP3K10,0.23378716070060956
C3N_C3NPC_STK_creedencombined.csv,MAP3K11,0.2940645531846034
C3N_C3NPC_STK_creedencombined.csv,MAP3K13,0.24608866937081245
C3N_C3NPC_STK_creedencombined.csv,MAP3K14,0.4374354091638971
C3N_C3NPC_STK_creedencombined.csv,MAP3K20,0.20342186166990892
C3N_C3NPC_STK_creedencombined.csv,MAP3K3,0.31542255429361166
C3N_C3NPC_STK_creedencombined.csv,MAP3K4,0.33633511903295643
C3N_C3NPC_STK_creedencombined.csv,MAP3K5,0.3806205502456867
C3N_C3NPC_STK_creedencombined.csv,MAP3K6,0.4064537184531124
C3N_C3NPC_STK_creedencombined.csv,MAP3K7,0.5048657878147349
C3N_C3NPC_STK_creedencombined.csv,MAP4K1,0.16524319112561311
C3N_C3NPC_STK_creedencombined.csv,MAP4K2,0.23044118707768801
C3N_C3NPC_STK_creedencombined.csv,MAP4K3,0.13941002291818722
C3N_C3NPC_STK_creedencombined.csv,MAP4K4,0.07902647219222342
C3N_C3NPC_STK_creedencombined.csv,MAP4K5,0.2956391830297629
C3N_C3NPC_STK_creedencombined.csv,MAPK10,0.5403018422221539
C3N_C3NPC_STK_creedencombined.csv,MAPK11,0.6014753082959202
C3N_C3NPC_STK_creedencombined.csv,MAPK12,0.5448883684129874
C3N_C3NPC_STK_creedencombined.csv,MAPK13,0.4833808250619733
C3N_C3NPC_STK_creedencombined.csv,MAPK15,0.44177841376811544
C3N_C3NPC_STK_creedencombined.csv,MAPK6,0.41102464209260847
C3N_C3NPC_STK_creedencombined.csv,MAPK7,0.5574125952680219
