Kinase,Z,method,AvgZ
KHS,-0.9,710230322>0.3,-1.0225
CAMKK,-0.9,710230322>0.3,-0.9975
ULK,-0.89,710230322>0.3,-0.9975
NIK,-0.87,710230322>0.3,-0.995
CLK,-0.85,710230322>0.3,-0.99
RAF,-0.79,710230322>0.3,-0.4225
AKT,0.76,710230322>0.3,1.0825
PDHK,0.76,710230322>0.3,0.8400000000000001
DMPK,0.73,710230322>0.3,1.3125
CAMK2,0.71,710230322>0.3,0.285
MLCK,0.69,710230322>0.3,0.6975
NDR,0.68,710230322>0.3,0.6975
RSK,0.65,710230322>0.3,1.395
PKD,0.65,710230322>0.3,0.42000000000000004
SGK,0.6,710230322>0.3,0.825
AMPK,0.59,710230322>0.3,0.9500000000000001
LKB,-0.58,710230322>0.3,-0.775
PAKA,0.54,710230322>0.3,0.5675
PKG,0.53,710230322>0.3,1.425
RAD53,0.52,710230322>0.3,0.645
PKCH,0.45,710230322>0.3,0.685
BARK2,-0.44,710230322>0.3,0.009999999999999995
MTOR,0.36,710230322>0.3,0.2625
GSK,0.27,710230322>0.3,-0.0825
MARK,0.25,710230322>0.3,-0.20500000000000002
VRK1,-0.22,710230322>0.3,-0.4525
ATM,0.22,710230322>0.3,0.03499999999999999
CAMK1,-0.21,710230322>0.3,-0.32999999999999996
MSN,0.19,710230322>0.3,0.7775
PRKDC,-0.19,710230322>0.3,0.009999999999999995
PKN,0.19,710230322>0.3,0.3725
NUAK,0.16,710230322>0.3,0.022500000000000006
TTK,0.15,710230322>0.3,-0.0049999999999999906
DAPK,0.14,710230322>0.3,0.28500000000000003
PEK,-0.12,710230322>0.3,-0.5325
PIM,0.08,710230322>0.3,0.6725000000000001
PDK1,-0.07,710230322>0.3,-0.7025
MST,-0.06,710230322>0.3,0.0525
PKCA,-0.05,710230322>0.3,-0.04000000000000001
RIPK,-0.01,710230322>0.3,-0.5049999999999999
P38,-3.55,710230322>0.4,-3.4025
ERK,-3.35,710230322>0.4,-2.7075
PKA,3.22,710230322>0.4,2.5325
PKCD,3.06,710230322>0.4,2.4375
CK1,-2.47,710230322>0.4,-2.9425
AUR,2.44,710230322>0.4,1.9475
STKR,-2.22,710230322>0.4,-2.75
PLK,-2.07,710230322>0.4,-2.58
NMO,-2.06,710230322>0.4,-2.3925
STE7,-1.99,710230322>0.4,-2.695
MAPKAPK,1.92,710230322>0.4,1.92
JNK,-1.91,710230322>0.4,-2.44
IRAK,-1.89,710230322>0.4,-1.385
HAL,1.8,710230322>0.4,1.465
