var1,var2,cor,statistic,p,method
CTL_SCZ,SCZ_547_CTL_554,0.79,2478201.5642908434,5.9899999999999985e-89,Spearman
CTL_SCZ,SCZ_552_CTL_686,0.82,2164367.4181483514,9.999999999999996e-100,Spearman
CTL_SCZ,SCZ_565_CTL_195,0.86,1641244.8659496363,2.82e-122,Spearman
CTL_SCZ,SCZ_585_CTL_834,0.91,1037609.567729746,8.619999999999998e-161,Spearman
CTL_SCZ,SCZ_640_CTL_702,0.81,2225382.941226627,1.7e-97,Spearman
CTL_SCZ,SCZ_69_CTL_901,0.71,3351480.69832015,9.349999999999998e-66,Spearman
CTL_SCZ,SCZ_732_CTL_836,0.78,2605733.147972431,5.229999999999999e-85,Spearman
CTL_SCZ,SCZ_737_CTL_869,0.8,2332569.013060332,9.589999999999998e-94,Spearman
CTL_SCZ,SCZ_802_CTL_676,0.86,1610224.9346153457,7.459999999999999e-124,Spearman
CTL_SCZ,SCZ_929_CTL_346,0.77,2690871.8244073903,1.6899999999999995e-82,Spearman
CTL_SCZ,SCZ_930_CTL_111,0.86,1654973.8033358466,1.3699999999999995e-121,Spearman
CTL_SCZ,SCZ_931_CTL_524,0.83,1954815.2396345036,5.989999999999999e-108,Spearman
CTL_SCZ,SCZ_94_CTL_46,0.82,2150901.9499677634,3.1699999999999995e-100,Spearman
CTL_SCZ,SCZ_CTL,0.85,1810643.6013150252,3.379999999999999e-114,Spearman
CTL_SCZ,SCZ_F_CTL_F,0.83,1979595.5438731278,6.309999999999999e-107,Spearman
CTL_SCZ,SCZ_F_SCZ_M,0.83,1975161.8509070862,4.149999999999999e-107,Spearman
CTL_SCZ,SCZ_M_CTL_M,0.81,2265662.753851961,4.609999999999998e-96,Spearman
Haloperidol_Control,C3N_C3NPC,0.76,2834380.451463645,1.7899999999999997e-78,Spearman
Haloperidol_Control,C3N_D3N,0.78,2564128.4084036034,2.8699999999999998e-86,Spearman
Haloperidol_Control,C3N_D3NPC,0.74,3060148.133356402,1.3299999999999998e-72,Spearman
Haloperidol_Control,CTL_F_CTL_M,0.77,2735125.068603232,3.1199999999999993e-81,Spearman
Haloperidol_Control,CTL_SCZ,0.77,2684620.321593596,1.1099999999999998e-82,Spearman
Haloperidol_Control,Haloperidol_Control,1,0,0,Spearman
Haloperidol_Control,SCZ_22_CTL_116,0.74,3004926.6744106417,5.439999999999999e-74,Spearman
Haloperidol_Control,SCZ_225_CTL_874,0.74,3038494.7214799463,3.8199999999999994e-73,Spearman
Haloperidol_Control,SCZ_291_CTL_846,0.7,3478273.941121334,5.339999999999999e-63,Spearman
Haloperidol_Control,SCZ_331_CTL_167,0.77,2690542.1350500104,1.6499999999999995e-82,Spearman
Haloperidol_Control,SCZ_339_CTL_223,0.72,3295511.4375764546,5.16e-67,Spearman
Haloperidol_Control,SCZ_446_CTL_882,0.81,2176036.6978876395,2.7099999999999992e-99,Spearman
Haloperidol_Control,SCZ_547_CTL_554,0.81,2189058.0007605413,8.159999999999998e-99,Spearman
Haloperidol_Control,SCZ_552_CTL_686,0.8,2339783.4322767765,1.6899999999999997e-93,Spearman
Haloperidol_Control,SCZ_565_CTL_195,0.8,2306148.4905230515,1.1899999999999997e-94,Spearman
Haloperidol_Control,SCZ_585_CTL_834,0.78,2616147.88313254,1.0699999999999999e-84,Spearman
Haloperidol_Control,SCZ_640_CTL_702,0.79,2466635.332537505,2.5599999999999994e-89,Spearman
Haloperidol_Control,SCZ_69_CTL_901,0.71,3363904.350952631,1.7599999999999997e-65,Spearman
Haloperidol_Control,SCZ_732_CTL_836,0.77,2693368.6139607793,1.9899999999999995e-82,Spearman
Haloperidol_Control,SCZ_737_CTL_869,0.82,2146248.5382544305,2.1199999999999998e-100,Spearman
Haloperidol_Control,SCZ_802_CTL_676,0.79,2463836.4980886555,2.0799999999999993e-89,Spearman
Haloperidol_Control,SCZ_929_CTL_346,0.77,2696153.3304940513,2.3999999999999992e-82,Spearman
Haloperidol_Control,SCZ_930_CTL_111,0.77,2747961.511523795,7.209999999999999e-81,Spearman
Haloperidol_Control,SCZ_931_CTL_524,0.78,2545989.564866103,7.949999999999998e-87,Spearman
Haloperidol_Control,SCZ_94_CTL_46,0.79,2423005.4227703246,9.969999999999999e-91,Spearman
Haloperidol_Control,SCZ_CTL,0.74,3043413.53349089,5.069999999999999e-73,Spearman
Haloperidol_Control,SCZ_F_CTL_F,0.77,2706827.5966980373,4.8599999999999986e-82,Spearman
Haloperidol_Control,SCZ_F_SCZ_M,0.75,2891860.1899742833,6.289999999999999e-77,Spearman
Haloperidol_Control,SCZ_M_CTL_M,0.75,2922726.6618706696,4.109999999999999e-76,Spearman
SCZ_22_CTL_116,C3N_C3NPC,0.81,2278860.819000932,1.3399999999999996e-95,Spearman
SCZ_22_CTL_116,C3N_D3N,0.81,2237170.933581169,4.4899999999999997e-97,Spearman
SCZ_22_CTL_116,C3N_D3NPC,0.8,2304350.033242734,1.0299999999999998e-94,Spearman
SCZ_22_CTL_116,CTL_F_CTL_M,0.73,3201949.7722509555,3.5499999999999994e-69,Spearman
SCZ_22_CTL_116,CTL_SCZ,0.79,2459306.2911117175,1.4899999999999996e-89,Spearman
SCZ_22_CTL_116,Haloperidol_Control,0.74,3004926.6744106417,5.439999999999999e-74,Spearman
SCZ_22_CTL_116,SCZ_22_CTL_116,1,1.3034866519490151e-9,0,Spearman
SCZ_22_CTL_116,SCZ_225_CTL_874,0.74,3094405.5810355158,9.289999999999998e-72,Spearman
SCZ_22_CTL_116,SCZ_291_CTL_846,0.69,3607960.3184394105,2.64e-60,Spearman
SCZ_22_CTL_116,SCZ_331_CTL_167,0.87,1580224.6906932702,2.0699999999999996e-125,Spearman
SCZ_22_CTL_116,SCZ_339_CTL_223,0.78,2602592.960346501,4.1999999999999994e-85,Spearman
SCZ_22_CTL_116,SCZ_446_CTL_882,0.84,1928530.5802821538,4.749999999999999e-109,Spearman
SCZ_22_CTL_116,SCZ_547_CTL_554,0.77,2707069.2538979915,4.9399999999999985e-82,Spearman
SCZ_22_CTL_116,SCZ_552_CTL_686,0.77,2664004.4463282675,2.7899999999999996e-83,Spearman
SCZ_22_CTL_116,SCZ_565_CTL_195,0.85,1781041.377290953,1.5099999999999996e-115,Spearman
SCZ_22_CTL_116,SCZ_585_CTL_834,0.83,1937412.216122187,1.1199999999999997e-108,Spearman
SCZ_22_CTL_116,SCZ_640_CTL_702,0.77,2695476.80037145,2.2899999999999993e-82,Spearman
SCZ_22_CTL_116,SCZ_69_CTL_901,0.78,2629027.6746094446,2.5899999999999996e-84,Spearman
SCZ_22_CTL_116,SCZ_732_CTL_836,0.76,2875671.624858121,2.33e-77,Spearman
SCZ_22_CTL_116,SCZ_737_CTL_869,0.74,3012840.361101854,8.629999999999998e-74,Spearman
SCZ_22_CTL_116,SCZ_802_CTL_676,0.84,1887501.6731494467,8.429999999999999e-111,Spearman
SCZ_22_CTL_116,SCZ_929_CTL_346,0.79,2476241.3691322817,5.189999999999999e-89,Spearman
SCZ_22_CTL_116,SCZ_930_CTL_111,0.87,1495088.423281307,5.1899999999999985e-130,Spearman
SCZ_22_CTL_116,SCZ_931_CTL_524,0.85,1773131.996132754,6.509999999999998e-116,Spearman
SCZ_22_CTL_116,SCZ_94_CTL_46,0.82,2078777.4824727878,5.679999999999999e-103,Spearman
SCZ_22_CTL_116,SCZ_CTL,0.78,2597554.2613111297,2.969999999999999e-85,Spearman
SCZ_22_CTL_116,SCZ_F_CTL_F,0.76,2823043.1729258723,8.779999999999998e-79,Spearman
SCZ_22_CTL_116,SCZ_F_SCZ_M,0.75,2942304.668925075,1.3299999999999998e-75,Spearman
SCZ_22_CTL_116,SCZ_M_CTL_M,0.75,2925679.8170750253,4.909999999999999e-76,Spearman
SCZ_225_CTL_874,C3N_C3NPC,0.77,2740993.5756246787,4.579999999999999e-81,Spearman
SCZ_225_CTL_874,C3N_D3N,0.8,2390132.214531598,8.259999999999999e-92,Spearman
SCZ_225_CTL_874,C3N_D3NPC,0.79,2419939.5729734073,7.91e-91,Spearman
SCZ_225_CTL_874,CTL_F_CTL_M,0.71,3434099.634609973,6.0399999999999995e-64,Spearman
SCZ_225_CTL_874,CTL_SCZ,0.76,2815573.9882385754,5.48e-79,Spearman
SCZ_225_CTL_874,Haloperidol_Control,0.74,3038494.7214799463,3.8199999999999994e-73,Spearman
SCZ_225_CTL_874,SCZ_22_CTL_116,0.74,3094405.5810355158,9.289999999999998e-72,Spearman
SCZ_225_CTL_874,SCZ_225_CTL_874,1,0,0,Spearman
SCZ_225_CTL_874,SCZ_291_CTL_846,0.71,3382613.9305643756,4.5699999999999995e-65,Spearman
SCZ_225_CTL_874,SCZ_331_CTL_167,0.79,2495164.0700684735,2.0599999999999995e-88,Spearman
SCZ_225_CTL_874,SCZ_339_CTL_223,0.75,2956856.4884872218,3.1899999999999997e-75,Spearman
SCZ_225_CTL_874,SCZ_446_CTL_882,0.78,2548384.0232616365,9.419999999999997e-87,Spearman
SCZ_225_CTL_874,SCZ_547_CTL_554,0.74,3027120.145687793,1.98e-73,Spearman
SCZ_225_CTL_874,SCZ_552_CTL_686,0.8,2325595.9597436143,5.549999999999999e-94,Spearman
SCZ_225_CTL_874,SCZ_565_CTL_195,0.81,2200337.58794983,2.1099999999999995e-98,Spearman
SCZ_225_CTL_874,SCZ_585_CTL_834,0.82,2135298.003162068,8.229999999999998e-101,Spearman
SCZ_225_CTL_874,SCZ_640_CTL_702,0.73,3123123.0934115592,4.6499999999999994e-71,Spearman
SCZ_225_CTL_874,SCZ_69_CTL_901,0.84,1827067.7592382904,1.8499999999999996e-113,Spearman
SCZ_225_CTL_874,SCZ_732_CTL_836,0.78,2579342.950393055,8.339999999999998e-86,Spearman
SCZ_225_CTL_874,SCZ_737_CTL_869,0.73,3143919.8700221307,1.48e-70,Spearman
SCZ_225_CTL_874,SCZ_802_CTL_676,0.79,2450068.3121485123,7.519999999999998e-90,Spearman
SCZ_225_CTL_874,SCZ_929_CTL_346,0.74,3058687.6311171795,1.2199999999999998e-72,Spearman
SCZ_225_CTL_874,SCZ_930_CTL_111,0.8,2387491.912765435,6.749999999999998e-92,Spearman
SCZ_225_CTL_874,SCZ_931_CTL_524,0.82,2089209.9987537034,1.4399999999999997e-102,Spearman
SCZ_225_CTL_874,SCZ_94_CTL_46,0.74,3058883.6321188235,1.2299999999999999e-72,Spearman
SCZ_225_CTL_874,SCZ_CTL,0.72,3328080.8582152617,2.8099999999999996e-66,Spearman
SCZ_225_CTL_874,SCZ_F_CTL_F,0.72,3325727.345586501,2.4799999999999997e-66,Spearman
SCZ_225_CTL_874,SCZ_F_SCZ_M,0.72,3268952.762511182,1.28e-67,Spearman
SCZ_225_CTL_874,SCZ_M_CTL_M,0.69,3613778.775652502,3.46e-60,Spearman
SCZ_291_CTL_846,C3N_C3NPC,0.67,3904950.780730458,1.42e-54,Spearman
SCZ_291_CTL_846,C3N_D3N,0.71,3418328.1145990887,2.7499999999999996e-64,Spearman
SCZ_291_CTL_846,C3N_D3NPC,0.69,3589211.3008629526,1.09e-60,Spearman
SCZ_291_CTL_846,CTL_F_CTL_M,0.74,3094194.9714310667,9.179999999999997e-72,Spearman
SCZ_291_CTL_846,CTL_SCZ,0.73,3130166.296221711,6.889999999999999e-71,Spearman
SCZ_291_CTL_846,Haloperidol_Control,0.7,3478273.941121334,5.339999999999999e-63,Spearman
SCZ_291_CTL_846,SCZ_22_CTL_116,0.69,3607960.3184394105,2.64e-60,Spearman
SCZ_291_CTL_846,SCZ_225_CTL_874,0.71,3382613.9305643756,4.5699999999999995e-65,Spearman
SCZ_291_CTL_846,SCZ_291_CTL_846,1,1.3034866519490151e-9,0,Spearman
SCZ_291_CTL_846,SCZ_331_CTL_167,0.77,2736357.950013008,3.3799999999999995e-81,Spearman
SCZ_291_CTL_846,SCZ_339_CTL_223,0.7,3557461.7860543313,2.44e-61,Spearman
SCZ_291_CTL_846,SCZ_446_CTL_882,0.68,3788084.0199463274,9.239999999999999e-57,Spearman
SCZ_291_CTL_846,SCZ_547_CTL_554,0.71,3448908.181584219,1.2599999999999997e-63,Spearman
SCZ_291_CTL_846,SCZ_552_CTL_686,0.7,3525928.0731511773,5.389999999999999e-62,Spearman
SCZ_291_CTL_846,SCZ_565_CTL_195,0.73,3162044.5059209988,4.0199999999999996e-70,Spearman
SCZ_291_CTL_846,SCZ_585_CTL_834,0.72,3278154.5318921707,2.08e-67,Spearman
SCZ_291_CTL_846,SCZ_640_CTL_702,0.68,3761475.0430193157,2.86e-57,Spearman
SCZ_291_CTL_846,SCZ_69_CTL_901,0.72,3243646.5763313384,3.3399999999999992e-68,Spearman
SCZ_291_CTL_846,SCZ_732_CTL_836,0.79,2485263.547403175,9.999999999999998e-89,Spearman
