Source,Target,Similarity,SourceSignature,SourceCellLine,SourceTime,TargetSignature,TargetCellLine,TargetConcentration,TargetTime
MAPK11,AC1L1KV5,-0.49615701,LINCSKD_31604,VCAP,120 h,LINCSCP_33044,MCF7,10uM,24h
MAPK11,R-59022,-0.49579438,LINCSKD_31604,VCAP,120 h,LINCSCP_30386,MCF7,10uM,6h
MAPK11,BRD-K63435718,-0.49558927,LINCSKD_31604,VCAP,120 h,LINCSCP_228240,HT29,5uM,24h
MAPK11,Pimozide,-0.49400667,LINCSKD_31604,VCAP,120 h,LINCSCP_55432,U937,10uM,6h
MAPK11,Fenoldopam,-0.49026516,LINCSKD_31604,VCAP,120 h,LINCSCP_91936,HA1E,10uM,24h
MAPK11,SCHEMBL15422158,-0.49009752,LINCSKD_31604,VCAP,120 h,LINCSCP_32010,MCF7,10uM,6h
MAPK11,SCHEMBL15422014,-0.48992807,LINCSKD_31604,VCAP,120 h,LINCSCP_32011,MCF7,10uM,6h
MAPK11,4-Deoxyuridine,-0.48772246,LINCSKD_31604,VCAP,120 h,LINCSCP_54055,SW620,10uM,6h
MAPK11,TRAVOPROST,-0.48692645,LINCSKD_31604,VCAP,120 h,LINCSCP_72345,A375,10uM,24h
MAPK11,BRD-K18323006,-0.4863782,LINCSKD_31604,VCAP,120 h,LINCSCP_27360,HT29,5uM,24h
MAPK11,MG-132,-0.48591373,LINCSKD_31604,VCAP,120 h,LINCSCP_37350,MCF7,10uM,6h
MAPK11,Colchicine,-0.48324932,LINCSKD_31604,VCAP,120 h,LINCSCP_37619,MCF7,3uM,24h
MAPK11,STK219801,-0.48191922,LINCSKD_31604,VCAP,120 h,LINCSCP_50647,PL21,20uM,6h
MAPK11,Momelotinib,-0.48178211,LINCSKD_31604,VCAP,120 h,LINCSCP_81349,A549,0.37uM,24h
MAPK11,CHEMBL3188326,-0.47971202,LINCSKD_31604,VCAP,120 h,LINCSCP_32363,MCF7,10uM,6h
MAPK11,Parbendazole,-0.47950145,LINCSKD_31604,VCAP,120 h,LINCSCP_34649,MCF7,10uM,24h
MAPK11,Thiostrepton,-0.47888453,LINCSKD_31604,VCAP,120 h,LINCSCP_253217,MCF7,10uM,6h
MAPK11,Trichostatin,-0.47884507,LINCSKD_31604,VCAP,120 h,LINCSCP_36157,MCF7,0.5uM,6h
MAPK11,Cabazitaxel,-0.47784953,LINCSKD_31604,VCAP,120 h,LINCSCP_138310,MCF7,0.12uM,24h
MAPK11,BRD-K65148580,-0.47696261,LINCSKD_31604,VCAP,120 h,LINCSCP_246178,MCF7,5uM,24h
MAPK11,FK888,-0.47626262,LINCSKD_31604,VCAP,120 h,LINCSCP_159570,PC3,0.12uM,24h
MAPK11,KUC111774N,-0.47525089,LINCSKD_31604,VCAP,120 h,LINCSCP_49438,PC3,1uM,6h
MAPK11,SCHEMBL15422533,-0.4749878,LINCSKD_31604,VCAP,120 h,LINCSCP_37062,MCF7,10uM,6h
MAPK11,Prostoglandin A1,-0.47441111,LINCSKD_31604,VCAP,120 h,LINCSCP_13452,H1299,1uM,6h
MAPK11,BRD-K59683426,-0.47412282,LINCSKD_31604,VCAP,120 h,LINCSCP_35084,MCF7,5uM,24h
MAPK11,BRD-K85515417,-0.47369206,LINCSKD_31604,VCAP,120 h,LINCSCP_248814,MCF7,5uM,24h
MAPK11,RVX-208,-0.47320912,LINCSKD_31604,VCAP,120 h,LINCSCP_154621,PC3,3.33uM,24h
MAPK11,XMD 8-92,-0.47261756,LINCSKD_31604,VCAP,120 h,LINCSCP_117571,HT29,10uM,24h
MAPK11,F1566-0341,-0.47245443,LINCSKD_31604,VCAP,120 h,LINCSCP_32366,MCF7,10uM,6h
MAPK11,AZD-6482,-0.47191356,LINCSKD_31604,VCAP,120 h,LINCSCP_2390,A375,10uM,6h
MAPK11,Alvelestat,-0.47184686,LINCSKD_31604,VCAP,120 h,LINCSCP_155842,PC3,0.37uM,24h
MAPK11,LACOSAMIDE,-0.47180465,LINCSKD_31604,VCAP,120 h,LINCSCP_78902,A375,10uM,24h
MAPK11,Methixene,-0.4716984,LINCSKD_31604,VCAP,120 h,LINCSCP_90214,HA1E,3.33uM,24h
MAPK11,Amuvatinib,-0.47165203,LINCSKD_31604,VCAP,120 h,LINCSCP_84041,ASC,0.04uM,24h
MAPK11,Pyrrolidine Dithiocarbamate,-0.47077638,LINCSKD_31604,VCAP,120 h,LINCSCP_33249,MCF7,10uM,6h
MAPK11,EI-346-ERLOTINIB-ANALOG,-0.47016759,LINCSKD_31604,VCAP,120 h,LINCSCP_32788,MCF7,10uM,6h
MAPK11,Pargyline,-0.46997239,LINCSKD_31604,VCAP,120 h,LINCSCP_27152,HT29,10uM,6h
MAPK11,"13-Hydroxy-8,14,19-trimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl carbamate",-0.46894391,LINCSKD_31604,VCAP,120 h,LINCSCP_67413,MCF7,0.1uM,6h
MAPK11,AB00540133,-0.46892711,LINCSKD_31604,VCAP,120 h,LINCSCP_25057,HT115,10uM,6h
MAPK11,Arachidonyl Trifluoromethylketone,-0.46822902,LINCSKD_31604,VCAP,120 h,LINCSCP_30747,MCF7,80uM,6h
MAPK11,(R)-(-)-Jq1 enantiomer,-0.46797234,LINCSKD_31604,VCAP,120 h,LINCSCP_112305,HEPG2,10uM,24h
