HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
CLK4,-1,0.04,-1,0.350547730829421,0.2358894377709056,6,0.09633384985006191
CSF1R,-1,0.01428571428571428,-1,-1,0.2222046585160218,2,0.07528943693385738
CSK,-1,0.37142857142857144,-1,-1,0.31000962982297714,26,0.21031566116905054
CSNK1A1L,-1,0.00285714285714285,-1,0.7261345852895149,0.30112586671203,23,0.19665423662763548
CSNK1E,-1,0.5457142857142857,-1,0.7261345852895149,0.45652059138051476,73,0.43561978294848297
CSNK1G1,-1,0.25142857142857145,-1,0.7261345852895149,0.37228029327075723,49,0.3060753025745499
CSNK1G2,-1,0.2857142857142857,-1,0.7261345852895149,0.38209469693403,52,0.32116786339481396
CSNK1G3,-1,0.19714285714285715,-1,0.7261345852895149,0.3567408208039088,44,0.28217874794246517
CSNK2A2,-1,0.6685714285714286,-1,0.26291079812206575,0.39811747502976036,58,0.34580764398834685
DCLK1,-1,0.18285714285714288,-1,-1,0.26364860497290477,11,0.13902181477286862
DDR1,-1,0.5628571428571428,-1,-1,0.35707309444350527,44,0.2826897173591142
DDR2,-1,0.56,-1,-1,0.3563706546730496,43,0.2816095075652326
DMPK,-1,0.3142857142857143,-1,0.4757433489827856,0.33969423360253287,37,0.2559645567453498
DYRK1B,-1,0.9228571428571428,-1,0.9640062597809076,0.6125292080748611,95,0.6755293706044209
DYRK2,-1,0.8514285714285714,-1,0.9640062597809076,0.5920825337763763,93,0.6440865355622042
DYRK3,-1,0.3457142857142857,-1,0.9640062597809076,0.44732007974310367,71,0.42147126346330926
DYRK4,-1,0.92,-1,0.9640062597809076,0.6117113411029218,95,0.6742716572027324
EEF2K,-1,0.8857142857142857,-1,-1,0.43644878850499286,69,0.4047534240677287
EGFR,-1,0.6028571428571429,-1,-1,0.36690725122988427,48,0.29781265447345584
EIF2AK1,-1,0.06,-1,0.4632237871674491,0.2643751164473823,11,0.1401390419617405
EIF2AK2,-1,0.9457142857142856,-1,0.4632237871674491,0.5179138777485942,82,0.5300301964852285
EIF2AK3,-1,0.00857142857142857,-1,0.4632237871674491,0.24965351095247326,8,0.11750020073134447
EPHA2,-1,0.04571428571428571,-1,-1,0.2299314959910339,4,0.08717174466655443
EPHA3,-1,0.6628571428571428,-1,-1,0.3816584864094527,52,0.3204970601449682
EPHA4,-1,0.03142857142857143,-1,-1,0.2264192971387557,3,0.0817706956971467
EPHA8,-1,0.01142857142857142,-1,-1,0.2215022187455662,2,0.07420922713997588
