HGNC,PTMSEA,KEA3,UKA,KRSA,CombinedScore,Percentile,Rescaled
CAMK2G,0,0.9885714285714284,-1,0.2001563721657545,0.45842350535699095,78,0.4201051448892528
DYRK1A,0.5645161290322581,0.7028571428571428,-1,0.9757623143080532,0.6022510462381364,93,0.6367302435906668
PRKG1,0.27419354838709675,0.9942857142857144,-1,0.8881939014855356,0.640671904184831,97,0.6945976179051141
PRKD1,0.3870967741935484,0.98,-1,0.7505863956215794,0.6189135010665456,95,0.6618263128114761
RPS6KA2,0.7258064516129032,0.8771428571428571,-1,0.9257232212666144,0.6631667594037757,98,0.7284781264796489
RPS6KA1,0.41935483870967744,0.9428571428571428,-1,0.9257232212666144,0.6491971207870402,97,0.7074378283167668
MAPK14,0,0.7685714285714286,0.803921568627451,0.9132134480062548,0.7141204238605529,99,0.805221721791964
PIM3,0.8548387096774194,-1,0.22549019607843135,0.6630179827990618,0.41386295270409623,64,0.35299050149421807
PASK,0,0.32571428571428573,-1,0.15011727912431588,0.24295947837104329,7,0.09558512718968232
VRK1,0,0.40285714285714286,-1,0.38780297107114936,0.3185297739742952,31,0.2094049327961585
PIM2,0.8225806451612904,0.4657142857142857,0.37254901960784315,0.6630179827990618,0.538421818014845,87,0.5405941852308024
AKT3,0.7741935483870968,0.4971428571428571,-1,0.8631743549648163,0.5376797387226572,86,0.5394765063848065
AAK1,-1,0.1,-1,0.5003909304143862,0.28333303232639595,20,0.15639354438797462
ABL1,-1,0.9057142857142856,-1,-1,0.44136586689818236,72,0.3944138719097199
ABL2,-1,0.6171428571428571,-1,-1,0.3704194500821625,52,0.2875582971628623
ACVR1,-1,0.36,-1,0.437842064112588,0.34512402997087943,44,0.24945973241837702
ACVR1B,-1,0.32857142857142857,-1,0.437842064112588,0.3361274932795461,39,0.23590964571876874
ACVR2B,-1,0.26857142857142857,-1,0.437842064112588,0.3189522868688188,31,0.2100412983831529
ALK,-1,0.8971428571428571,-1,-1,0.43925854758681554,71,0.39123994394694217
AURKC,-1,0.34,-1,0.6755277560594214,0.38741156901490864,58,0.31315088825078263
AXL,-1,0.30857142857142855,-1,-1,0.29455595487295305,24,0.17329689050285602
BLK,-1,0.17714285714285713,-1,-1,0.2622437254319935,12,0.12462999507359408
BMP2K,-1,0.03714285714285714,-1,0.5003909304143862,0.26533995894372925,13,0.12929337098875798
BMPR1A,-1,0.7857142857142857,-1,0.437842064112588,0.46698620878984903,79,0.43300181589488906
BMPR1B,-1,0.7171428571428572,-1,0.437842064112588,0.44735740146330366,75,0.4034379903684711
BMPR2,-1,0.4114285714285714,-1,0.437842064112588,0.3598456354657885,47,0.2716326015631905
BMX,-1,0.6514285714285715,-1,-1,0.3788487273276302,55,0.3002540090139741
BRSK1,-1,0.24571428571428572,-1,0.2752150117279124,0.27955861940810023,18,0.15070873210545516
BRSK2,-1,0.08285714285714285,-1,0.2752150117279124,0.23294020200755486,4,0.08049464648021239
BTK,-1,0.8542857142857143,-1,-1,0.4287219510299809,68,0.3753703041330524
BUB1,-1,0.4142857142857143,-1,-1,0.32054622637981184,32,0.21244200204378408
CAMK1,-1,0.7457142857142857,-1,0.3752931978107897,0.4429011743806962,73,0.39672626724721244
CAMK1D,-1,0.2,-1,0.3752931978107897,0.2866885827402721,21,0.16144748909946888
CAMK2A,-1,0.9542857142857144,-1,0.2001563721657545,0.46722775228666824,79,0.43336561536972246
CAMK2B,-1,0.5457142857142857,-1,0.2001563721657545,0.3502727752993349,45,0.25721448827481486
CAMK2D,-1,0.6885714285714286,-1,0.2001563721657545,0.3911661238963046,59,0.3188057914548525
CAMK4,-1,0.8171428571428572,0.5392156862745098,0.3752931978107897,0.549507007563464,87,0.557290085510971
CAMKK1,-1,0.6885714285714286,0.5392156862745098,0.2877247849882721,0.4859759421000958,80,0.4616031034330326
CAMKK2,-1,0.5971428571428572,-1,0.2877247849882721,0.3826832363170459,56,0.3060293346798009
CDC42BPA,-1,0.12857142857142856,-1,0.7130570758405004,0.3344703511725943,39,0.2334137497986866
CDC7,-1,0.32,-1,-1,0.2973657139547756,25,0.1775287944532266
CDK11A,-1,0.02285714285714285,-1,0.7881157154026583,0.3193711493732384,32,0.2106721659541781
CDK12,-1,0.05428571428571428,-1,0.7881157154026583,0.32836768606457173,35,0.22422225265378637
CDK15,-1,0.1657142857142857,-1,0.7881157154026583,0.36026449797020804,48,0.2722634691342157
CDK16,-1,0.2,-1,0.7881157154026583,0.3700789016334808,52,0.2870453818974247
CDK18,-1,0.18,-1,0.7881157154026583,0.364353832829905,50,0.2784225994522194
CDK19,-1,0.9971428571428572,-1,0.7881157154026583,0.5982637868045716,92,0.6307248536420346
CDK20,-1,0.2885714285714286,-1,0.7881157154026583,0.3954327777636019,60,0.32523198986904794
CDK3,-1,0.8085714285714286,0.6862745098039216,0.7881157154026583,0.6787736864151144,99,0.7519844179975638
CDK6,-1,0.9342857142857144,0.7647058823529411,0.7881157154026583,0.7393449192855145,100,0.8432134636909733
CDK7,-1,0.6542857142857142,0.5294117647058824,0.7881157154026583,0.5900508504087144,91,0.6183549824304339
CDK8,-1,0.31142857142857144,-1,0.7881157154026583,0.40197571353911715,62,0.3350865983778541
CDK9,-1,0.7742857142857142,0.04901960784313725,0.7881157154026583,0.5160730685559143,84,0.5069337330828043
CDKL3,-1,0.08857142857142856,-1,-1,0.24046809254786855,6,0.09183273945822192
CDKL5,-1,0.8142857142857143,0.4411764705882353,-1,0.47637280805183596,80,0.4471393932958602
CHUK,-1,0.9028571428571428,-1,0.01250977326035965,0.4146014563857552,64,0.3541027949531108
CLK1,-1,0.4742857142857143,-1,0.30023455824863177,0.35004193588405225,45,0.25686681069642175
CLK2,-1,0.7771428571428571,-1,0.30023455824863177,0.436735834909628,70,0.3874403734381015
CLK3,-1,0.5285714285714286,-1,0.30023455824863177,0.3655814083509007,51,0.280271505904836
CLK4,-1,0.04285714285714286,-1,0.30023455824863177,0.22654402312120386,3,0.07086107509270825
CSF1R,-1,0.01714285714285714,-1,-1,0.22290709828647748,2,0.06538333976840564
CSK,-1,0.4228571428571429,-1,-1,0.3226535456911787,33,0.21561593000656196
CSNK1A1L,-1,0.00571428571428571,-1,0.6254886630179828,0.2816132158563986,19,0.15380325180368185
CSNK1E,-1,0.5514285714285714,-1,0.6254886630179828,0.43782580749682276,70,0.3890820299514255
CSNK1G1,-1,0.32285714285714284,-1,0.6254886630179828,0.37239644974167124,53,0.2905359448633653
